Test,Carbon Emissions (kg CO2e),Solar to Grid (kWh),Grid Demand (kWh),Solar Supply (kWh),Electricity CI (kg CO2e/kWh),Battery Supply
Pre Retrofit,208999.1416457635,0.0,332806.2332680448,0.0,0.6279904663847866,0.0
Balcony retrofit,146803.8626718207,99677.87592309888,190959.41539685352,141846.81787119125,0.4411091139437395,0.0
Facade retrofit,140802.2728306387,192917.63260221115,180492.5261228978,152313.70714514697,0.423075828382203,0.0
Full retrofit,137777.8775561596,429245.8263677782,175296.0260941747,157510.20717387006,0.41398827240471847,0.0
Retrofit facing East,141654.0004037433,321324.3039211377,181511.0244456173,151295.20882242746,0.42563505801183127,0.0
Retrofit in Cairns,138019.48614906354,401725.670398694,175152.112863055,157654.12040498978,0.414714246165881,0.0
Retrofit in Hobart,139571.31660777656,343373.87831925566,178814.71924974312,153991.51401830165,0.41937711093098645,0.0
Retrofit with 180 kWh Battery,94805.77369624178,364106.7628877477,110156.96261414429,157510.20717387006,0.28486778256909767,65139.06348003044
