hour,Emissions Intensity - kgCO₂e/KWh,Price - AUD/MWh
0,0.7736110344827587,92.80362068965516
1,0.772823275862069,85.6955172413793
2,0.7761922413793104,81.04155172413793
3,0.7776506896551724,81.13913793103448
4,0.7764946551724138,86.28620689655173
5,0.7750186206896552,101.27948275862069
6,0.7651093103448275,136.41241379310344
7,0.6823387931034484,86.59655172413794
8,0.5199760344827586,42.65
9,0.43903137931034486,27.12793103448276
10,0.3967856896551724,20.98948275862069
11,0.3799951724137931,24.68793103448276
12,0.3781748275862069,20.88
13,0.3928581034482759,33.429655172413796
14,0.42795,58.50431034482759
15,0.4833822413793103,88.35103448275862
16,0.5935198275862069,241.9503448275862
17,0.6875106896551725,235.4496551724138
18,0.6995050877192982,154.92122807017543
19,0.7119223214285714,133.1355357142857
20,0.72601875,122.74285714285715
21,0.7400783928571428,108.37714285714286
22,0.7546319642857143,116.40714285714286
23,0.7640103571428571,100.32035714285713
